Country,Capital,Latitude,Longitude
Albania,Tirana,41.327546,19.818698
Andorra,Andorra la Vella,42.506317,1.521835
Austria,Vienna,48.208174,16.373819
Belarus,Minsk,53.90454,27.561524
Belgium,Brussels,50.85034,4.35171
Bosnia and Herzegovina,Sarajevo,43.856259,18.413076
Bulgaria,Sofia,42.697708,23.321868
Croatia,Zagreb ,45.815011,15.981919
Czech Republic,Prague,50.075538,14.4378
Denmark,Copenhagen,55.676097,12.568337
Estonia,Tallinn,59.436961,24.753575
Finland,Helsinki,60.173324,24.941025
France,Paris,48.856614,2.352222
Germany,Berlin,52.520007,13.404954
Greece,Athens,37.983917,23.72936
Hungary,Budapest,47.497912,19.040235
Iceland,Reykjavík,64.126521,-21.817439
Ireland,Dublin,53.349805,-6.26031
Italy,Rome,41.902784,12.496366
Kosovo,Pristina,42.662914,21.165503
Latvia,Riga,56.949649,24.105186
Liechtenstein,Vaduz,47.14103,9.520928
Lithuania,Vilnius,54.687156,25.279651
Luxembourg,Luxembourg,49.611621,6.131935
Malta,Valletta,35.898909,14.514553
Moldova,Chisinau,47.010453,28.86381
Monaco,Monaco,43.737411,7.420816
Montenegro,Podgorica,42.43042,19.259364
North Macedonia,Skopje,41.997346,21.427996
Netherlands,Amsterdam,52.370216,4.895168
Norway,Oslo,59.913869,10.752245
Poland,Warsaw,52.229676,21.012229
Portugal,Lisbon,38.722252,-9.139337
Romania,Bucharest,44.426767,26.102538
Russia,Moscow,55.755826,37.6173
San Marino,San Marino,43.935591,12.447281
Serbia,Belgrade,44.786568,20.448922
Slovakia,Bratislava,48.145892,17.107137
Slovenia,Ljubljana,46.056947,14.505751
Spain,Madrid,40.416775,-3.70379
Sweden,Stockholm,59.329323,18.068581
Switzerland,Bern,46.947974,7.447447
Ukraine,Kiev,50.4501,30.5234
United Kingdom,London,51.507351,-0.127758
